región;área_protegida;hectáreas;categoría_internacional
Centro;Parque Nacional El Leoncito;89706;-
Centro;Parque Nacional Quebrada del Condorito;35396;-
Centro;Parque Nacional San Guillermo;166000;Reserva de Biosfera-Sitio de Patrimonio Mundial
Centro;Parque Nacional Sierra de las Quijadas;73785;Sitio Ramsar
Centro;Parque Nacional Talampaya;213800;Sitio de Patrimonio Mundial
Centro;Parque Nacional Traslasierra;27169;-
Centro este;Parque Nacional Campos del Tuyú;3040;Sitio Ramsar
Centro este;Parque Nacional Ciervo de los Pantanos;5200;Sitio Ramsar
Centro este;Parque Nacional El Palmar;8213;Sitio Ramsar
Centro este;Parque Nacional Islas de Santa Fé;4096;Sitio Ramsar
Centro este;Parque Nacional Pre-Delta;2608;Sitio Ramsar
Nea;Parque Nacional Chaco;14981;-
Nea;Parque Nacional El Impenetrable;128000;-
Nea;Parque Nacional Iberá;183500;-
Nea;Parque Nacional Iguazú;67698;Sitio de Patrimonio Mundial
Nea;Parque Nacional Mburucuyá;17086;-
Nea;Parque Nacional Río Pilcomayo;51889;Sitio Ramsar
Nea;Reserva Natural Educativa Colonia Benítez;8;-
Nea;Reserva Natural Estricta San Antonio;480;-
Nea;Reserva Natural Silvestre Parque Federal Campo San Juan;5131;-
Noa;Monumento Natural Laguna de los Pozuelos;16000;Reserva de Biosfera, Sitio Ramsar
Noa;Parque Nacional Aconquija;76207;Sitio de Patrimonio Mundial
Noa;Parque Nacional Baritú;72439;Reserva de Biosfera
Noa;Parque Nacional Calilegua;76306;Reserva de Biosfera
Noa;Parque Nacional Copo;118119;-
Noa;Parque Nacional El Rey;44162;-
Noa;Parque Nacional Los Cardones;64117;-
Noa;Reserva Nacional El Nogalar de los Toldos;3275;Reserva de Biosfera
Noa;Reserva Nacional Pizarro;7837;-
Noa;Reserva Natural Formosa;9005;Reserva de Biosfera
Patagonia norte;Parque Interjurisdiccional Marino Costero Patagonia Austral;103574;Reserva de Biósfera
Patagonia norte;Parque Nacional Lago Puelo;27674;Reserva de Biósfera
Patagonia norte;Parque Nacional Laguna Blanca;11250;Sitio RAMSAR
Patagonia norte;Parque Nacional Lanín;412000;Reserva de Biósfera
Patagonia norte;Parque Nacional Lihué Calel;32514;
Patagonia norte;Parque Nacional Los Alerces;259822;Reserva de Biósfera, Sitio de Patrimonio Mundial
Patagonia norte;Parque Nacional Los Arrayanes;1796;Reserva de Biósfera
Patagonia norte;Parque Nacional Nahuel Huapi;717261;Reserva de Biósfera
Patagonia austral;Parque Interjurisdiccional Marino Isla Pingüino;159526;
Patagonia austral;Parque Interjurisdiccional Marino Makenke;72663;
Patagonia austral;Parque Nacional Bosques Petrificados de Jaramillo;78543;
Patagonia austral;Parque Nacional Los Glaciares;731932;Sitio de Patrimonio Mundial
Patagonia austral;Parque Nacional Monte León;62169;
Patagonia austral;Parque Nacional Patagonia;106424;
Patagonia austral;Parque Nacional Perito Moreno;142120;
Patagonia austral;Parque Nacional Tierra del Fuego;68909;
Patagonia austral;Reserva Natural Silvestre Isla de los Estados y Archipiélago de Año Nuevo;52784;
Mar Argentino;Namuncurá - Banco Burdwood;2800000;-
Mar Argentino;Banco Burdwood II;3233630;-
Mar Argentino;Yaganes;6883430;-
